"Time","emqx-3"
2023-07-15 22:27:30,0
2023-07-15 22:27:45,0
2023-07-15 22:28:00,0
2023-07-15 22:28:15,165
2023-07-15 22:28:30,5089
2023-07-15 22:28:45,8382
2023-07-15 22:29:00,17186
2023-07-15 22:29:15,22566
2023-07-15 22:29:30,36018
2023-07-15 22:29:45,43280
2023-07-15 22:30:00,57872
2023-07-15 22:30:15,65164
2023-07-15 22:30:30,79731
2023-07-15 22:30:45,87035
2023-07-15 22:31:00,102638
2023-07-15 22:31:15,111034
2023-07-15 22:31:30,129012
2023-07-15 22:31:45,138303
2023-07-15 22:32:00,157668
2023-07-15 22:32:15,167950
2023-07-15 22:32:30,192661
2023-07-15 22:32:45,206095
2023-07-15 22:33:00,232984
2023-07-15 22:33:15,246423
2023-07-15 22:33:30,274002
2023-07-15 22:33:45,288368
2023-07-15 22:34:00,318392
2023-07-15 22:34:15,335374
2023-07-15 22:34:30,370738
2023-07-15 22:34:45,389216
2023-07-15 22:35:00,427183
2023-07-15 22:35:15,446787
2023-07-15 22:35:30,487615
2023-07-15 22:35:45,509143
2023-07-15 22:36:00,556283
2023-07-15 22:36:15,581623
2023-07-15 22:36:30,636009
2023-07-15 22:36:45,666009
2023-07-15 22:37:00,728734
2023-07-15 22:37:15,761358
2023-07-15 22:37:30,827448
2023-07-15 22:37:45,862533
2023-07-15 22:38:00,935185
2023-07-15 22:38:15,972784
2023-07-15 22:38:30,1052827
2023-07-15 22:38:45,1093713
2023-07-15 22:39:00,1176952
2023-07-15 22:39:15,1219843
2023-07-15 22:39:30,1306682
2023-07-15 22:39:45,1350861
2023-07-15 22:40:00,1438695
2023-07-15 22:40:15,1483099
2023-07-15 22:40:30,1572299
2023-07-15 22:40:45,1618478
2023-07-15 22:41:00,1707257
2023-07-15 22:41:15,1753614
2023-07-15 22:41:30,1848877
2023-07-15 22:41:45,1894960
2023-07-15 22:42:00,1983099
2023-07-15 22:42:15,2027069
2023-07-15 22:42:30,2117129
2023-07-15 22:42:45,2161695
2023-07-15 22:43:00,2253139
2023-07-15 22:43:15,2298934
2023-07-15 22:43:30,2390862
2023-07-15 22:43:45,2437059
2023-07-15 22:44:00,2527592
2023-07-15 22:44:15,2573058
2023-07-15 22:44:30,2663750
2023-07-15 22:44:45,2709022
2023-07-15 22:45:00,2799279
2023-07-15 22:45:15,2845301
2023-07-15 22:45:30,2932791
2023-07-15 22:45:45,2975100
2023-07-15 22:46:00,3057892
2023-07-15 22:46:15,3098071
2023-07-15 22:46:30,3180681
2023-07-15 22:46:45,3223096
2023-07-15 22:47:00,3308760
2023-07-15 22:47:15,3352393
2023-07-15 22:47:30,3440773
2023-07-15 22:47:45,3484955
2023-07-15 22:48:00,3573118
2023-07-15 22:48:15,3616248
2023-07-15 22:48:30,3701702
2023-07-15 22:48:45,3745243
2023-07-15 22:49:00,3833118
2023-07-15 22:49:15,3877407
2023-07-15 22:49:30,3964105
2023-07-15 22:49:45,4006322
2023-07-15 22:50:00,4090732
2023-07-15 22:50:15,4132629
2023-07-15 22:50:30,4215564
2023-07-15 22:50:45,4256670
2023-07-15 22:51:00,4337853
2023-07-15 22:51:15,4377588
2023-07-15 22:51:30,4454492
2023-07-15 22:51:45,4492945
2023-07-15 22:52:00,4568521
2023-07-15 22:52:15,4605631
2023-07-15 22:52:30,4677690
2023-07-15 22:52:45,4712801
2023-07-15 22:53:00,4779167
2023-07-15 22:53:15,4810437
2023-07-15 22:53:30,4869687
2023-07-15 22:53:45,4896933
2023-07-15 22:54:00,4950242
2023-07-15 22:54:15,4976462
2023-07-15 22:54:30,5026057
2023-07-15 22:54:45,5049224
2023-07-15 22:55:00,5091860
2023-07-15 22:55:15,5112889
2023-07-15 22:55:30,5151669
2023-07-15 22:55:45,5170778
2023-07-15 22:56:00,5209008
2023-07-15 22:56:15,5228069
2023-07-15 22:56:30,5265926
2023-07-15 22:56:45,5284846
2023-07-15 22:57:00,5322589
2023-07-15 22:57:15,5341503
2023-07-15 22:57:30,5379046
2023-07-15 22:57:45,5395965
2023-07-15 22:58:00,5428518
2023-07-15 22:58:15,5442760
2023-07-15 22:58:30,5467983
2023-07-15 22:58:45,5479878
2023-07-15 22:59:00,5502586
2023-07-15 22:59:15,5513540
2023-07-15 22:59:30,5531472
2023-07-15 22:59:45,5539407
2023-07-15 23:00:00,5551676
2023-07-15 23:00:15,5557091
2023-07-15 23:00:30,5567898
2023-07-15 23:00:45,5573273
2023-07-15 23:01:00,5584006
2023-07-15 23:01:15,5589353
2023-07-15 23:01:30,5600049
2023-07-15 23:01:45,5605380
2023-07-15 23:02:00,5616048
2023-07-15 23:02:15,5621363
2023-07-15 23:02:30,5632031
2023-07-15 23:02:45,5637362
2023-07-15 23:03:00,5648021
2023-07-15 23:03:15,5653210
2023-07-15 23:03:30,5661984
2023-07-15 23:03:45,5665986
2023-07-15 23:04:00,5673977
2023-07-15 23:04:15,5677976
2023-07-15 23:04:30,5685977
2023-07-15 23:04:45,5689976
2023-07-15 23:05:00,5697970
2023-07-15 23:05:15,5701963
2023-07-15 23:05:30,5709952
2023-07-15 23:05:45,5713949
2023-07-15 23:06:00,5721937
2023-07-15 23:06:15,5725694
2023-07-15 23:06:30,5731661
2023-07-15 23:06:45,5734318
2023-07-15 23:07:00,5739661
2023-07-15 23:07:15,5742316
2023-07-15 23:07:30,5747644
2023-07-15 23:07:45,5750315
2023-07-15 23:08:00,5755643
2023-07-15 23:08:15,5758307
2023-07-15 23:08:30,5763643
2023-07-15 23:08:45,5766308
2023-07-15 23:09:00,5771632
2023-07-15 23:09:15,5774301
2023-07-15 23:09:30,5779628
2023-07-15 23:09:45,5782292
2023-07-15 23:10:00,5787628
2023-07-15 23:10:15,5790292
2023-07-15 23:10:30,5795618
2023-07-15 23:10:45,5798284
2023-07-15 23:11:00,5803605
2023-07-15 23:11:15,5806266
2023-07-15 23:11:30,5810743
2023-07-15 23:11:45,5812212
2023-07-15 23:12:00,5814878
2023-07-15 23:12:15,5816211
2023-07-15 23:12:30,5818877
2023-07-15 23:12:45,5820211
2023-07-15 23:13:00,5822877
2023-07-15 23:13:15,5824209
2023-07-15 23:13:30,5826820
2023-07-15 23:13:45,5827639
2023-07-15 23:14:00,5827926
2023-07-15 23:14:15,5827926
2023-07-15 23:14:30,5827926
2023-07-15 23:14:45,5827926
2023-07-15 23:15:00,5827926
2023-07-15 23:15:15,5827926
2023-07-15 23:15:30,5827926
2023-07-15 23:15:45,5827926
2023-07-15 23:16:00,5827926
2023-07-15 23:16:15,5827926

