"Time","total","emqx-3","emqx-1","emqx-0","emqx-2"
2023-07-15 22:27:30,10,2,4,0,4
2023-07-15 22:27:45,12,3,4,0,5
2023-07-15 22:28:00,13,3,4,1,5
2023-07-15 22:28:15,16,4,5,1,6
2023-07-15 22:28:30,18,4,5,3,6
2023-07-15 22:28:45,20,4,6,3,7
2023-07-15 22:29:00,22,4,7,3,8
2023-07-15 22:29:15,25,4,8,4,9
2023-07-15 22:29:30,25,4,8,4,9
2023-07-15 22:29:45,29,5,9,5,10
2023-07-15 22:30:00,29,5,9,5,10
2023-07-15 22:30:15,33,5,11,6,11
2023-07-15 22:30:30,34,5,11,7,11
2023-07-15 22:30:45,37,6,11,9,11
2023-07-15 22:31:00,37,6,11,9,11
2023-07-15 22:31:15,41,7,12,9,13
2023-07-15 22:31:30,42,8,12,9,13
2023-07-15 22:31:45,44,8,14,9,13
2023-07-15 22:32:00,46,8,15,9,14
2023-07-15 22:32:15,49,9,16,9,15
2023-07-15 22:32:30,51,9,17,10,15
2023-07-15 22:32:45,53,9,17,11,16
2023-07-15 22:33:00,54,9,17,11,17
2023-07-15 22:33:15,57,10,17,11,19
2023-07-15 22:33:30,58,11,17,11,19
2023-07-15 22:33:45,61,12,17,12,20
2023-07-15 22:34:00,63,12,18,13,20
2023-07-15 22:34:15,65,13,18,14,20
2023-07-15 22:34:30,66,13,18,14,21
2023-07-15 22:34:45,69,14,19,14,22
2023-07-15 22:35:00,71,15,19,14,23
2023-07-15 22:35:15,73,17,19,14,23
2023-07-15 22:35:30,75,18,20,14,23
2023-07-15 22:35:45,77,18,21,14,24
2023-07-15 22:36:00,79,19,21,15,24
2023-07-15 22:36:15,82,20,23,15,24
2023-07-15 22:36:30,82,20,23,15,24
2023-07-15 22:36:45,86,22,25,15,24
2023-07-15 22:37:00,87,23,25,15,24
2023-07-15 22:37:15,89,24,25,15,25
2023-07-15 22:37:30,90,25,25,15,25
2023-07-15 22:37:45,93,25,25,16,27
2023-07-15 22:38:00,95,26,25,17,27
2023-07-15 22:38:15,96,26,26,17,27
2023-07-15 22:38:30,100,26,26,17,31
2023-07-15 22:38:45,101,26,26,18,31
2023-07-15 22:39:00,103,26,27,19,31
2023-07-15 22:39:15,105,26,28,19,32
2023-07-15 22:39:30,108,27,28,21,32
2023-07-15 22:39:45,109,28,28,21,32
2023-07-15 22:40:00,111,30,28,21,32
2023-07-15 22:40:15,113,31,29,21,32
2023-07-15 22:40:30,115,32,30,21,32
2023-07-15 22:40:45,117,32,31,22,32
2023-07-15 22:41:00,119,33,31,23,32
2023-07-15 22:41:15,119,33,31,23,32
2023-07-15 22:41:30,124,34,32,23,35
2023-07-15 22:41:45,124,34,32,23,35
2023-07-15 22:42:00,125,35,32,23,35
2023-07-15 22:42:15,127,36,33,23,35
2023-07-15 22:42:30,128,36,34,23,35
2023-07-15 22:42:45,128,36,34,23,35
2023-07-15 22:43:00,129,35,36,23,35
2023-07-15 22:43:15,130,36,37,23,34
2023-07-15 22:43:30,130,36,37,23,34
2023-07-15 22:43:45,131,36,38,23,34
2023-07-15 22:44:00,130,34,38,24,34
2023-07-15 22:44:15,128,33,38,24,33
2023-07-15 22:44:30,131,33,40,23,35
2023-07-15 22:44:45,133,32,42,24,35
2023-07-15 22:45:00,135,32,42,25,36
2023-07-15 22:45:15,135,33,42,25,35
2023-07-15 22:45:30,136,34,41,26,35
2023-07-15 22:45:45,136,34,41,27,34
2023-07-15 22:46:00,138,34,42,27,35
2023-07-15 22:46:15,138,34,42,27,35
2023-07-15 22:46:30,138,34,42,28,34
2023-07-15 22:46:45,140,34,42,28,36
2023-07-15 22:47:00,141,34,42,29,36
2023-07-15 22:47:15,141,34,42,29,36
2023-07-15 22:47:30,142,35,42,29,36
2023-07-15 22:47:45,143,35,42,30,36
2023-07-15 22:48:00,143,35,42,30,36
2023-07-15 22:48:15,143,35,42,30,36
2023-07-15 22:48:30,144,35,42,30,37
2023-07-15 22:48:45,145,35,42,30,38
2023-07-15 22:49:00,145,35,42,30,38
2023-07-15 22:49:15,145,35,42,30,38
2023-07-15 22:49:30,146,36,42,30,38
2023-07-15 22:49:45,146,36,42,30,38
2023-07-15 22:50:00,146,36,42,30,38
2023-07-15 22:50:15,146,36,42,30,38
2023-07-15 22:50:30,147,37,42,30,38
2023-07-15 22:50:45,147,37,42,30,38
2023-07-15 22:51:00,147,37,42,30,38
2023-07-15 22:51:15,147,37,42,30,38
2023-07-15 22:51:30,148,37,42,31,38
2023-07-15 22:51:45,148,37,42,31,38
2023-07-15 22:52:00,148,37,42,31,38
2023-07-15 22:52:15,149,37,43,31,38
2023-07-15 22:52:30,149,37,43,31,38
2023-07-15 22:52:45,149,37,43,31,38
2023-07-15 22:53:00,149,37,43,31,38
2023-07-15 22:53:15,150,37,43,31,39
2023-07-15 22:53:30,150,37,43,31,39
2023-07-15 22:53:45,150,37,43,31,39
2023-07-15 22:54:00,150,37,43,31,39
2023-07-15 22:54:15,150,37,43,31,39
2023-07-15 22:54:30,150,37,43,31,39
2023-07-15 22:54:45,150,37,43,31,39
2023-07-15 22:55:00,150,37,43,31,39
2023-07-15 22:55:15,150,37,43,31,39
2023-07-15 22:55:30,150,37,43,31,39
2023-07-15 22:55:45,150,37,43,31,39
2023-07-15 22:56:00,150,37,43,31,39
2023-07-15 22:56:15,150,37,43,31,39
2023-07-15 22:56:30,150,37,43,31,39
2023-07-15 22:56:45,150,37,43,31,39
2023-07-15 22:57:00,150,37,43,31,39
2023-07-15 22:57:15,150,37,43,31,39
2023-07-15 22:57:30,150,37,43,31,39
2023-07-15 22:57:45,150,37,43,31,39
2023-07-15 22:58:00,150,37,43,31,39
2023-07-15 22:58:15,150,37,43,31,39
2023-07-15 22:58:30,150,37,43,31,39
2023-07-15 22:58:45,150,37,43,31,39
2023-07-15 22:59:00,150,37,43,31,39
2023-07-15 22:59:15,150,37,43,31,39
2023-07-15 22:59:30,150,37,43,31,39
2023-07-15 22:59:45,150,37,43,31,39
2023-07-15 23:00:00,150,37,43,31,39
2023-07-15 23:00:15,150,37,43,31,39
2023-07-15 23:00:30,150,37,43,31,39
2023-07-15 23:00:45,150,37,43,31,39
2023-07-15 23:01:00,150,37,43,31,39
2023-07-15 23:01:15,150,37,43,31,39
2023-07-15 23:01:30,150,37,43,31,39
2023-07-15 23:01:45,150,37,43,31,39
2023-07-15 23:02:00,150,37,43,31,39
2023-07-15 23:02:15,150,37,43,31,39
2023-07-15 23:02:30,150,37,43,31,39
2023-07-15 23:02:45,150,37,43,31,39
2023-07-15 23:03:00,150,37,43,31,39
2023-07-15 23:03:15,150,37,43,31,39
2023-07-15 23:03:30,150,37,43,31,39
2023-07-15 23:03:45,150,37,43,31,39
2023-07-15 23:04:00,150,37,43,31,39
2023-07-15 23:04:15,150,37,43,31,39
2023-07-15 23:04:30,150,37,43,31,39
2023-07-15 23:04:45,150,37,43,31,39
2023-07-15 23:05:00,150,37,43,31,39
2023-07-15 23:05:15,150,37,43,31,39
2023-07-15 23:05:30,150,37,43,31,39
2023-07-15 23:05:45,150,37,43,31,39
2023-07-15 23:06:00,150,37,43,31,39
2023-07-15 23:06:15,150,37,43,31,39
2023-07-15 23:06:30,150,37,43,31,39
2023-07-15 23:06:45,150,37,43,31,39
2023-07-15 23:07:00,150,37,43,31,39
2023-07-15 23:07:15,150,37,43,31,39
2023-07-15 23:07:30,150,37,43,31,39
2023-07-15 23:07:45,150,37,43,31,39
2023-07-15 23:08:00,150,37,43,31,39
2023-07-15 23:08:15,150,37,43,31,39
2023-07-15 23:08:30,150,37,43,31,39
2023-07-15 23:08:45,150,37,43,31,39
2023-07-15 23:09:00,150,37,43,31,39
2023-07-15 23:09:15,150,37,43,31,39
2023-07-15 23:09:30,150,37,43,31,39
2023-07-15 23:09:45,150,37,43,31,39
2023-07-15 23:10:00,150,37,43,31,39
2023-07-15 23:10:15,150,37,43,31,39
2023-07-15 23:10:30,150,37,43,31,39
2023-07-15 23:10:45,150,37,43,31,39
2023-07-15 23:11:00,150,37,43,31,39
2023-07-15 23:11:15,150,37,43,31,39
2023-07-15 23:11:30,150,37,43,31,39
2023-07-15 23:11:45,150,37,43,31,39
2023-07-15 23:12:00,150,37,43,31,39
2023-07-15 23:12:15,150,37,43,31,39
2023-07-15 23:12:30,150,37,43,31,39
2023-07-15 23:12:45,150,37,43,31,39
2023-07-15 23:13:00,150,37,43,31,39
2023-07-15 23:13:15,150,37,43,31,39
2023-07-15 23:13:30,150,37,43,31,39
2023-07-15 23:13:45,150,37,43,31,39
2023-07-15 23:14:00,150,37,43,31,39
2023-07-15 23:14:15,150,37,43,31,39
2023-07-15 23:14:30,150,37,43,31,39
2023-07-15 23:14:45,150,37,43,31,39
2023-07-15 23:15:00,150,37,43,31,39
2023-07-15 23:15:15,150,37,43,31,39
2023-07-15 23:15:30,150,37,43,31,39
2023-07-15 23:15:45,150,37,43,31,39
2023-07-15 23:16:00,150,37,43,31,39
2023-07-15 23:16:15,150,37,43,31,39

